SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,2000,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
ARUNACHAL PRADESH,2000,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,2596.8,101.2,700.8,1650,144.8
ASSAM & MEGHALAYA,2000,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487,34.2,679.5,1666.6,106.6
NAGA MANI MIZO TRIPURA,2000,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465,298.3,185.2,24.2,1.1,2363.9,48.6,746.9,1357.9,210.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,2000,10.7,36.2,55.1,185.1,326.5,649.6,574.3,498.1,465.8,82.9,22.6,1.2,2908,46.9,566.6,2187.8,106.7
GANGETIC WEST BENGAL,2000,9.5,57.9,3.8,54,215,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1,67.4,272.8,1153.9,77.9
ORISSA,2000,0.9,33.3,1.1,21.3,74.7,233.7,272.3,273.6,158,26.6,1.6,0.1,1097.2,34.2,97,937.6,28.3
JHARKHAND,2000,3.6,21.2,6.3,19.6,67.7,185.3,358.4,152.8,356.9,19.1,0.4,0.2,1191.5,24.7,93.6,1053.4,19.7
BIHAR,2000,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
EAST UTTAR PRADESH,2000,2.6,5.3,2.9,10.5,38.6,199.1,240.9,204.7,222.7,1.3,18.1,0.2,946.8,7.9,52,867.4,19.5
WEST UTTAR PRADESH,2000,8.8,22.9,1.7,2.1,23.6,143,251.2,238.9,79.1,0,0,0,771.4,31.7,27.4,712.2,0.1
UTTARAKHAND,2000,29.9,69.4,37.9,18.1,83.3,313.9,420.1,536.1,195.3,1.1,7,0.7,1712.9,99.3,139.4,1465.4,8.8
HARYANA DELHI & CHANDIGARH,2000,17.1,29.1,1.4,1.3,22.8,58.9,146.8,87.9,17.5,0,0.4,1.2,384.4,46.2,25.6,311.1,1.6
PUNJAB,2000,25.4,26.6,6.9,1.3,15.3,50.1,164.8,70,42,0,0.7,2.2,405.3,52,23.5,326.9,2.9
HIMACHAL PRADESH,2000,118.2,119,68.1,25.6,79.9,198,265.1,126.7,50.1,0,10.5,6.9,1068.4,237.2,173.7,640,17.5
JAMMU & KASHMIR,2000,159.5,106.6,90.4,30.4,51.1,95.5,193.7,123.6,73.2,1.4,21,38.2,984.6,266.2,171.9,485.9,60.6
WEST RAJASTHAN,2000,0.5,0.5,0.3,3.1,4.3,8.2,171.6,39.6,5.7,1.1,0.5,0,235.3,1,7.7,225.1,1.5
EAST RAJASTHAN,2000,0.3,0.6,0.4,2.3,21,20.2,270.6,95.5,28.7,0.4,0,0.1,440,0.8,23.7,415,0.5
WEST MADHYA PRADESH,2000,0.1,NA,0.1,0.1,30.1,93.4,320.5,136.2,31.6,1.2,0,0.2,NA,NA,30.3,581.7,1.4
EAST MADHYA PRADESH,2000,0.1,0,0.1,0.1,7.4,167.5,377.7,208.2,111.4,1.8,0,0,874.2,0.1,7.5,864.9,1.8
GUJARAT REGION,2000,0,0.1,0,0,36.1,62.9,301.1,133,13.5,0.2,0,3.6,550.6,0.1,36.1,510.6,3.9
SAURASHTRA & KUTCH,2000,0,0,0,0,2.9,5.4,224.7,46.2,4.5,2.2,0,0.1,286.1,0,2.9,280.9,2.3
KONKAN & GOA,2000,1.2,0,0,0.9,190.3,739.4,1200.4,789.5,111.9,91.8,1.6,6.2,3133.2,1.2,191.2,2841.2,99.7
MADHYA MAHARASHTRA,2000,0.4,1.1,0.2,1.7,18.5,173,198.7,159.6,87,56.5,2.7,2.1,701.6,1.5,20.5,618.2,61.3
MATATHWADA,2000,0.4,3.8,0.5,0.4,16.3,188.3,157.3,239.5,44.8,30.8,0.7,1.7,684.4,4.2,17.2,629.9,33.2
VIDARBHA,2000,0.1,16.4,0.1,0.1,28.8,235.9,472.1,286.2,54,11,0,0.5,1105.2,16.4,29,1048.2,11.5
CHHATTISGARH,2000,2.6,0,0.6,1.5,9.3,180.7,322.4,215.6,169.1,4.3,0.2,0.1,906.3,2.6,11.4,887.8,4.6
COASTAL ANDHRA PRADESH,2000,0.1,42.4,0.7,19.1,68.4,200.5,154.1,311.5,102.9,69.6,10.6,12.4,992.3,42.5,88.3,768.9,92.6
TELANGANA,2000,0.6,16.8,1,16.3,48.8,253.2,220.9,420.5,70.7,20.2,6.4,2.5,1078,17.5,66.1,965.3,29.1
RAYALSEEMA,2000,0,34.3,0.2,22.1,73.8,92.7,94.7,241.5,102.9,134.7,37.7,36.7,871.3,34.3,96.1,531.8,209.1
TAMIL NADU,2000,30.3,74.5,9.4,41.6,54.7,52.2,45.8,136.1,169.8,120.3,148.6,88.9,972,104.7,105.6,403.9,357.8
COASTAL KARNATAKA,2000,14.9,0.5,0.9,25.8,216.4,966.8,915.6,741.7,279.2,174.7,12.5,2.4,3351.3,15.5,243,2903.3,189.6
NORTH INTERIOR KARNATAKA,2000,0.4,2.6,0.1,8.4,49,107.5,127.1,164.6,134.4,115.1,2.8,0.5,712.4,3,57.4,533.6,118.3
SOUTH INTERIOR KARNATAKA,2000,1.4,15.5,0.3,46.3,59.3,167.5,200.5,300.6,183.5,206.2,14.1,12.1,1207.2,16.9,105.9,852.1,232.3
KERALA,2000,11.7,57.8,21.5,96.3,124.5,633.8,343.2,566.5,195.8,214.2,78.1,69.1,2412.6,69.5,242.3,1739.4,361.5
LAKSHADWEEP,2000,83.3,18.9,3.4,47.9,204.6,225.4,95.5,319.9,164.5,141.4,56.3,11,1372.1,102.2,255.9,805.3,208.7
ANDAMAN & NICOBAR ISLANDS,2001,89,15.7,143.3,30.1,705.3,370.7,341.3,469,334.4,267.6,222.6,91.8,3080.9,104.7,878.7,1515.4,582
ARUNACHAL PRADESH,2001,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036,119.7,560.5,1147.8,208
ASSAM & MEGHALAYA,2001,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,45.2,495.8,1413.2,224.2
NAGA MANI MIZO TRIPURA,2001,1.5,46.9,38.8,83.6,313.8,478,322.6,263,269,266.4,65.4,0.2,2149,48.4,436.1,1332.6,332
SUB HIMALAYAN WEST BENGAL & SIKKIM,2001,4,20.5,50.2,134.8,347.2,472.2,399,424.5,434.9,282.8,36.6,5.9,2612.6,24.5,532.2,1730.5,325.4
GANGETIC WEST BENGAL,2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0,1540.6,2.2,258,1108,172.4
ORISSA,2001,0.4,1.4,32.3,28.7,71,336.1,584.2,380.9,132,86.8,18.7,0,1672.5,1.8,132,1433.2,105.6
JHARKHAND,2001,1.9,4,30,14,57.4,324.7,354.6,219.4,132.8,115.5,0.2,0,1254.4,5.8,101.4,1031.5,115.7
BIHAR,2001,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
EAST UTTAR PRADESH,2001,1.1,1.4,1.3,4.2,26.7,229,294,185.9,152.1,75.3,2.8,0,973.8,2.6,32.2,860.9,78.1
WEST UTTAR PRADESH,2001,2.5,2.3,2.6,12,29.6,164.4,282,122.1,26.7,16.3,1.1,0.1,661.7,4.8,44.2,595.2,17.6
UTTARAKHAND,2001,22.7,27.9,83.4,48.2,109.1,297.3,493,371.7,68.3,6.3,1.4,15.1,1544.4,50.6,240.7,1230.3,22.9
HARYANA DELHI & CHANDIGARH,2001,17.8,5.2,7.2,19.8,47.8,117.2,145.2,103.5,10.3,11.1,0.1,0.2,485.5,23,74.8,376.3,11.4
PUNJAB,2001,8,2.1,6.2,24.5,36.9,93.8,173.9,69.5,19.9,1.5,0.9,3.8,441,10.1,67.5,357.1,6.2
HIMACHAL PRADESH,2001,30.5,35.7,105.8,66.9,67.3,153.8,239.5,202.3,26.9,5,20.8,37.3,991.8,66.2,240,622.5,63.1
JAMMU & KASHMIR,2001,17.4,54.3,81.7,92.8,69.6,121.7,243.9,126.7,53.9,12.7,51.6,26.4,952.7,71.7,244.1,546.3,90.6
WEST RAJASTHAN,2001,0.5,1.1,0.1,9.5,23.8,48.6,122.9,68.7,2.8,7.3,0,0,285.3,1.5,33.4,243.1,7.3
EAST RAJASTHAN,2001,0.9,0.1,0.3,6.4,22.9,100.2,271.4,126.4,7.7,9.2,0,5.8,551.2,1,29.5,505.7,15
WEST MADHYA PRADESH,2001,2.1,0,1.1,6,16.4,203.6,269.2,198.9,27.5,62.2,0,0,787,2.2,23.5,699.1,62.2
EAST MADHYA PRADESH,2001,2.3,0.8,2.4,23,12.4,255.5,468.4,243.9,50.4,110,1,0,1170.1,3.1,37.7,1018.2,111
GUJARAT REGION,2001,6.1,0,0,0.2,2.1,216.9,320,256.8,17.8,28.9,0.2,0,849,6.1,2.3,811.5,29
SAURASHTRA & KUTCH,2001,0,0,0,0.2,0.9,172.9,191.1,116.9,20.6,7.6,0,0,510.2,0,1,501.5,7.6
KONKAN & GOA,2001,5.6,0,0,2.8,59.6,540.1,873.4,611.3,207.9,91.6,3.1,0,2395.4,5.6,62.4,2232.7,94.7
MADHYA MAHARASHTRA,2001,4.4,0,0.3,4.7,8.4,157.9,179.3,160.9,137.3,125.5,5.7,0.5,785.1,4.4,13.5,635.4,131.8
MATATHWADA,2001,4.8,0.5,0.5,9.9,0.7,148.7,56.7,255.8,83.5,170.5,0.8,0,732.4,5.3,11.2,544.6,171.3
VIDARBHA,2001,8.9,0.1,15.2,18.3,7.9,338.6,202,359.8,37.4,129.2,4.7,0,1122.1,9,41.4,937.8,134
CHHATTISGARH,2001,0.8,0.3,14.6,17.6,16.6,339.4,630.6,380.3,108.4,86.9,4.6,0,1600.1,1.1,48.7,1458.8,91.6
COASTAL ANDHRA PRADESH,2001,4.6,3.8,20,54.1,50.8,117.2,123,170.7,187.2,196,78,4.1,1009.3,8.4,124.8,598.1,278
TELANGANA,2001,8.5,0,21.5,37.3,7.5,183.9,123.8,266.8,119.9,135.6,17.4,0,922.3,8.5,66.4,694.3,153.1
RAYALSEEMA,2001,7.7,0,6.5,68.2,24.5,24,70.1,95.8,195.5,352.5,41.7,38.1,924.5,7.7,99.2,385.4,432.3
TAMIL NADU,2001,21.8,10.9,13,93.8,45,39.9,37.2,18.7,53.8,69.5,52.3,27.6,483.4,32.7,151.8,149.5,149.3
COASTAL KARNATAKA,2001,0.6,0.4,0.4,71.4,156.9,930,926.9,654.4,151.8,169.7,48.6,0.6,3111.6,1,228.7,2663.1,218.9
NORTH INTERIOR KARNATAKA,2001,2.1,0,0.1,22.1,13.3,60.9,62.1,108.8,187.1,137.5,2.5,1.4,598,2.1,35.5,418.9,141.4
SOUTH INTERIOR KARNATAKA,2001,0.5,1.1,1.7,90.6,30.4,127.2,168.2,152,189.9,122.7,40,2.1,926.3,1.6,122.7,637.2,164.8
KERALA,2001,16.5,28.3,7,238,238.6,715.3,598.5,361.3,216.8,319.6,181,10.1,2931.1,44.7,483.7,1892,510.7
LAKSHADWEEP,2001,4.4,20.4,0,104.6,187.3,283.9,198.9,144.3,213.5,105.2,101.5,16.6,1380.6,24.8,291.9,840.6,223.3
ANDAMAN & NICOBAR ISLANDS,2002,10.6,0,11.5,100.2,366.7,358.3,317.4,429.8,420,169,306.7,129.9,2620.2,10.7,478.4,1525.6,605.5
ARUNACHAL PRADESH,2002,74.2,37.2,126.3,248.2,197.1,396.8,604,290.7,257.9,94,45,17.9,2389.2,111.4,571.6,1549.4,156.9
ASSAM & MEGHALAYA,2002,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,25.9,650.2,1589.8,126.8
NAGA MANI MIZO TRIPURA,2002,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6,2242.3,22.5,645.1,1397.8,176.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,2002,30.1,10,95.6,237.1,181.7,407.2,743.3,406.6,340.1,75.7,8.7,10.8,2547,40.1,514.4,1897.2,95.2
GANGETIC WEST BENGAL,2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3,27.8,218.1,1244.9,122.5
ORISSA,2002,11.7,0.2,13.1,25.1,67.5,182.4,170.2,371.2,206.5,47.1,7.8,0,1102.8,11.9,105.7,930.2,54.9
JHARKHAND,2002,9,5.4,10.7,11.5,38.7,184.9,186.8,277.4,253.4,55,1.3,0.8,1034.9,14.4,60.9,902.5,57.1
BIHAR,2002,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
EAST UTTAR PRADESH,2002,15,26.1,0.6,2.5,29.2,50.6,101.7,212.1,226.7,20.6,1.4,2.7,689.1,41.1,32.2,591.1,24.7
WEST UTTAR PRADESH,2002,16.8,37.6,2,0.7,21.5,29,29.6,252.3,218.1,6.7,0.4,10.5,625.2,54.5,24.2,529,17.6
UTTARAKHAND,2002,53.8,123.2,100,76.3,82.3,139.6,205.7,465.4,301.3,19.9,3,4.2,1574.7,177,258.5,1112.1,27.1
HARYANA DELHI & CHANDIGARH,2002,11.6,31.1,9,1.1,52,21.2,19.4,78.2,123,1.9,0,8.8,357.2,42.7,62.1,241.8,10.7
PUNJAB,2002,2.4,6.6,6.8,3.3,20.8,24.7,50.4,58.4,95,2.6,0,3.7,274.7,9,31,228.4,6.3
HIMACHAL PRADESH,2002,66.7,136.5,136.9,124,27,56.1,81.8,225.6,123.1,8.2,0.7,3.9,990.4,203.2,287.9,486.6,12.8
JAMMU & KASHMIR,2002,58.7,101.2,105.5,86.3,33,94.2,78.7,217.4,97.9,15.2,0.7,14.6,903.5,159.9,224.8,488.3,30.5
WEST RAJASTHAN,2002,0.3,2.6,1,1.4,11.2,26.9,2.4,17.2,20.6,0.1,2.5,6,92.4,3,13.7,67.2,8.6
EAST RAJASTHAN,2002,1.6,11,0.1,1.2,8.6,71.4,13.5,130.6,41.2,0.8,0.8,4.5,285.3,12.6,9.8,256.8,6
WEST MADHYA PRADESH,2002,0.4,19.7,1.5,1.7,3.9,138.9,46.9,317.7,141,5.9,5.9,0.8,684.1,20.1,7.1,644.4,12.6
EAST MADHYA PRADESH,2002,1.8,29.6,1.2,0.2,5.2,93.5,84.7,491.8,192.1,43.1,5.6,1.2,950.2,31.5,6.6,862.2,49.9
GUJARAT REGION,2002,4.1,0,0.1,0,0,234.2,45.8,238.5,113.7,0.6,0.1,0.1,637.2,4.1,0.1,632.2,0.8
SAURASHTRA & KUTCH,2002,0,0,0,0,0,166.4,8,117.5,15.1,0.2,0.2,0.6,308.1,0,0,307,1
KONKAN & GOA,2002,0,0,0.1,2.8,9.4,942,452.8,834.5,217.1,75.3,3,0.3,2537.2,0,12.3,2446.4,78.6
MADHYA MAHARASHTRA,2002,1.7,3.1,1,13,14.4,251.9,95.6,221.5,95.8,36.3,5.9,0,740.3,4.9,28.3,664.7,42.3
MATATHWADA,2002,5.5,4.1,0.7,6.1,8.5,241.8,58.2,223.6,122.4,46.4,4.8,0,722.1,9.6,15.3,646,51.3
VIDARBHA,2002,2.4,4,1.1,2.9,8.2,301.1,88.1,352.5,128.6,35.2,1.9,0.1,925.8,6.3,12.1,870.3,37.1
CHHATTISGARH,2002,41.5,4.9,12.2,3.3,32.1,196.3,138.4,352.4,122.3,57.8,13.3,15.9,990.2,46.4,47.5,809.3,86.9
COASTAL ANDHRA PRADESH,2002,28,0,7.3,34.8,35,115.2,74.7,173.5,71.7,148.7,14.3,0,703.2,28,77.1,435,163
TELANGANA,2002,18.8,10.1,7.6,7.7,32,143.2,91.7,321.7,52.4,76.2,3.9,0,765.3,28.9,47.3,609,80.1
RAYALSEEMA,2002,25.6,3.2,7.7,17.5,55,90.8,42.9,69.8,78.2,167.5,44.2,12.9,615.2,28.8,80.2,281.6,224.6
TAMIL NADU,2002,2.9,22.1,3.9,9.2,32.6,23.7,11.8,26.5,32.2,93.7,47.2,12.2,318,25,45.7,94.2,153.1
COASTAL KARNATAKA,2002,0.6,11.2,0.5,30.9,164,764.5,545.7,731.3,163.5,360,20.7,0.3,2793.1,11.8,195.3,2205,381
NORTH INTERIOR KARNATAKA,2002,3.8,7.9,0.3,14.7,40.6,108.2,54.7,118.2,52.2,126.4,3.4,0,530.5,11.7,55.6,333.4,129.9
SOUTH INTERIOR KARNATAKA,2002,2,11.4,2.3,20.6,77.2,131.9,92.6,155.1,74.9,168.4,18.8,0.6,755.8,13.4,100,454.5,187.8
KERALA,2002,4.7,8.7,35.7,117.3,330.8,503.1,318.7,438.2,99,511.7,137.5,2.1,2507.4,13.3,483.7,1359,651.3
LAKSHADWEEP,2002,10.8,16.8,7.2,23.4,189.8,261.8,81.3,143.9,50,178.2,52.9,17.4,1033.5,27.6,220.4,537,248.5
ANDAMAN & NICOBAR ISLANDS,2003,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48,2355.9,52.2,465,1406.1,432.5
ARUNACHAL PRADESH,2003,22.9,83.2,109.6,182,173.5,424.3,645.3,327.2,259.9,182.6,25,16.2,2451.8,106.1,465.2,1656.6,223.9
ASSAM & MEGHALAYA,2003,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250,231.8,13,18.6,2434.1,51,546.5,1573.3,263.4
NAGA MANI MIZO TRIPURA,2003,3.8,11.5,78,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9,2162.2,15.3,502.4,1423.4,221.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2003,17,79.2,90.1,171.4,211.7,516.6,703,354,321.4,223,16.4,19.2,2723.3,96.3,473.3,1895.1,258.7
GANGETIC WEST BENGAL,2003,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
ORISSA,2003,0.1,16.2,21.6,24.7,22.6,178.9,367.5,425.1,264.3,287.4,11,28.8,1648.2,16.3,68.9,1235.7,327.3
JHARKHAND,2003,3.3,30.5,33.6,17.9,21.5,152.4,247.5,245.1,224,255.5,6.2,7.4,1245,33.9,73.1,869,269.1
BIHAR,2003,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
EAST UTTAR PRADESH,2003,13.8,36.9,2.6,8.8,2,124.9,255.2,301.4,333.8,7.6,0,9.3,1096.4,50.7,13.4,1015.3,16.9
WEST UTTAR PRADESH,2003,18.6,40.4,2.5,4.4,5.9,74.1,315.6,214.2,356.6,0.7,0.8,13.6,1047.5,59,12.9,960.5,15.1
UTTARAKHAND,2003,40.7,126,99.7,54.1,67.1,145.2,515.3,416.2,239.9,1.8,4.8,23.6,1734.3,166.7,220.9,1316.6,30.2
HARYANA DELHI & CHANDIGARH,2003,14.7,29.9,4,1.8,7.5,26.6,277.6,165.3,58.9,0,0.1,11,597.6,44.6,13.3,528.5,11.2
PUNJAB,2003,10.6,56.4,19.4,3,3.9,40.7,136.7,94.7,52.2,0,2.2,5,424.6,67,26.2,324.3,7.1
HIMACHAL PRADESH,2003,39.5,116.6,113,52.9,35.9,61.4,187.7,228.7,135.5,0.3,22.5,40.4,1034.5,156.1,201.9,613.3,63.2
JAMMU & KASHMIR,2003,26.9,267.2,170.9,117.5,111.3,41,136,185.5,126.1,13.3,33.7,81.7,1311.1,294.2,399.7,488.5,128.8
WEST RAJASTHAN,2003,2.5,21.2,0.8,0.4,1.8,45.2,188.4,93.6,13.9,0.2,0,0.1,368.1,23.7,3,341.1,0.3
EAST RAJASTHAN,2003,4.1,21.4,0.5,0.2,3.5,76.6,245.8,178.5,93.6,0.1,0,2.3,626.6,25.4,4.2,594.4,2.5
WEST MADHYA PRADESH,2003,1.1,21.1,0.1,1,0.3,128.7,307.5,228,254.9,0.9,0.2,2.5,946.4,22.2,1.4,919.2,3.6
EAST MADHYA PRADESH,2003,0.7,59.6,2.2,1,0.4,119.9,366.8,370.2,493.3,20.5,0.5,2.9,1438.1,60.3,3.7,1350.2,23.8
GUJARAT REGION,2003,0,6.1,0.1,0,0,209.3,518.7,314.6,109.5,1.9,0,0,1160.3,6.1,0.1,1152.2,1.9
SAURASHTRA & KUTCH,2003,0,0.4,0,0,0,68.2,402.2,190.7,21.7,3,0,0,686.2,0.4,0,682.7,3
KONKAN & GOA,2003,0.5,0.6,0.8,1.2,11.2,865.3,1013.9,593.7,298.7,54.4,1.9,0,2842.3,1.2,13.2,2771.6,56.3
MADHYA MAHARASHTRA,2003,0.8,2.2,1.5,5.7,15.1,210.8,208.7,178.4,116.2,29.5,3.5,0.1,772.6,3,22.3,714.2,33.1
MATATHWADA,2003,2.1,1.3,2.3,4.9,28.5,117.6,255.9,183.9,95.7,22.1,4.9,0.8,720.1,3.4,35.7,653.1,27.8
VIDARBHA,2003,0,4.4,3.6,2.7,3,140.2,401,280.9,138,42.6,0.8,1.3,1018.6,4.4,9.3,960.1,44.7
CHHATTISGARH,2003,3.7,17.7,12.1,2.6,0.7,128.7,446.6,519.7,384.1,157.6,5.8,14.9,1694.3,21.4,15.5,1479.1,178.2
COASTAL ANDHRA PRADESH,2003,6.2,19.4,40.7,19.4,12.2,104,241.7,158.3,130.2,252.3,11.5,101.1,1096.8,25.6,72.3,634.1,364.9
TELANGANA,2003,0,10.7,21.9,14,7.9,112.6,312.2,266.5,103.2,101.7,7.3,5.3,963.2,10.7,43.8,794.5,114.2
RAYALSEEMA,2003,0,1.3,26.1,15,4.1,57.4,183.4,116.4,124.9,175.5,11.7,9.6,725.5,1.3,45.2,482.2,196.8
TAMIL NADU,2003,0.3,4.1,18,17.1,19.8,22.5,38.7,49.3,26.1,86,59.5,7.1,348.5,4.4,54.8,136.6,152.6
COASTAL KARNATAKA,2003,0.1,3.6,8.4,37.3,10.2,973.8,970.6,637.5,236,183.7,10.7,0,3071.9,3.8,55.9,2817.9,194.4
NORTH INTERIOR KARNATAKA,2003,0.3,1.5,15.2,24.9,3.5,66.9,94.4,104,64.3,92.1,4.2,2.2,473.5,1.8,43.6,329.7,98.4
SOUTH INTERIOR KARNATAKA,2003,0.1,4.2,20.1,36.4,9.6,118.2,162.5,152.2,51.9,192.4,11.5,3.6,762.8,4.3,66.1,484.9,207.4
KERALA,2003,0.7,50.9,82.1,134.4,91,566.7,532,350.3,93.6,407,76.4,9.7,2394.9,51.6,307.5,1542.6,493.1
